"scrape time";"revision";"deploy time"
"2020-05-20 15:44:19";"70948e9+Disable+bsc-aks+for+rest-go+(keep+minikube)";"2020-05-20+12:19:42"
"2020-05-20 15:44:19";"cf0ac42+Enable+minikube+for+rest-go+(keep+bsc-aks)";"2020-05-20+12:18:07"
"2020-05-20 15:44:19";"b6ae80a+Enable+bsc-aks+for+rest-go";"2020-05-20+12:15:03"
"2020-05-20 15:44:19";"cdc54ba+Disable+rest-go";"2020-05-20+12:09:01"
"2020-05-20 15:44:19";"c9360f1+Disable+minikube+for+rest-go";"2020-05-20+11:13:34"
"2020-05-20 15:44:19";"c9360f1+Disable+minikube+for+rest-go";"2020-05-20+11:06:07"
"2020-05-20 15:44:19";"26fce2c+Enable+both+clusters+for+rest-go";"2020-05-20+11:05:03"
"2020-05-20 15:44:19";"9d68947+Switch+rest-go+to+minikube";"2020-05-20+11:00:35"
"2020-05-20 15:44:19";"37bae97+Switch+rest-go+to+bsc-aks";"2020-05-20+10:40:45"
"2020-05-20 15:44:19";"fec9b01+Enable+rest-go+on+minikube";"2020-05-20+10:28:18"
"2020-05-20 15:44:19";"a58e969+Use+none+label+to+disable+deployment";"2020-05-20+10:23:50"